backbone,hopkins_mean,MNN@5,MNN@10,MNN@20,hubness skew,max hubness,mean_ward_silhouette,mean_hdbscan_dbcv,mean_min_noise,grad_distance_morph_corr,grad_neighborhood_consistency,grad_gradient_smoothness_moran
dinov2_base_patch,0.7368588013788689,0.6534711964549483,0.6933530280649927,0.7258493353028065,0.4236399901043666,26.0,0.1574764875125295,-0.161762132007746,0.8270146069259806,0.2952137954488568,0.0387592695394999,0.3333242511847483
dinov3_base_cls,0.7265206596370113,0.6522895125553915,0.6685376661742983,0.7005908419497784,0.739742193827726,30.0,0.2253930196517305,-0.090449886663289,0.7523387493845397,0.214955996591227,0.0762700077185343,0.3603109002198039
dinov2_base_cls,0.7234799746303348,0.6629246676514032,0.6874446085672082,0.7236336779911374,0.4477321819752775,28.0,0.1528777720022039,-0.0917729690727276,0.8362054817003118,0.1926373167749736,-0.0336230346958419,0.2774319309563212
dinov3_base_patch,0.7147091686280514,0.646381093057607,0.6833087149187592,0.7322008862629247,0.4721057557469122,27.0,0.2014546115038757,-0.1172045086979435,0.7500410306909568,0.2721820871995323,0.1138515136023984,0.3755673312792401
mobilenet,0.7137295356292583,0.6186115214180207,0.6537666174298375,0.6828655834564255,0.7970976049306673,33.0,0.2140116961866827,-0.1606953633192034,0.7864762842606269,0.2751981101984822,0.1429805468676999,0.4058495817758353
kimianet_1000,0.7078656350638152,0.620384047267356,0.6413589364844904,0.6518463810930576,0.4463701250655311,27.0,0.3017142390390537,-0.1422461565019278,0.6640407024454292,0.1257802797834614,0.087892472299471,0.3400499897457159
densenet201,0.7033244064420857,0.6333825701624816,0.6824224519940916,0.719645494830133,0.5526406651196895,28.0,0.1901413498585586,-0.126915684693973,0.5283111767602167,0.2689024842386698,0.1046962197321069,0.4058935441055815
nasnet,0.6910822542719075,0.6020679468242245,0.6484490398818316,0.6968980797636632,0.3826748345155886,25.0,0.1895262140920993,-0.1433673303106891,0.6482849171180043,0.1310564191584859,-0.0837544219237369,0.2898147674404647
densenet,0.6799087507257253,0.6327917282127031,0.676218611521418,0.7011816838995568,0.58919785408647,26.0,0.1821704195831284,-0.1213548885868479,0.7689151485311013,0.3093868801789746,0.0693459513703368,0.3943301069999707
xception,0.6715407262507734,0.6280649926144757,0.6638109305760709,0.7073855243722305,0.5814781521573883,27.0,0.1493126307616467,-0.0733598755982842,0.8238962744132611,0.1971832164505438,-0.0150982440804674,0.3149831918779128
kimianet_224,0.6709139112920279,0.6451994091580502,0.6886262924667651,0.7423929098966027,0.4523209939668889,25.0,0.1511084623823194,-0.098132559587852,0.8478581979320532,0.176166370600783,-0.0839858283559897,0.2554453283441763
