backbone,neigh_all,neigh_crossslide,moran_all,moran_crossslide,distcorr_all,distcorr_crossslide,pts_short_of_k_crossslide,neigh_drop,moran_drop,distcorr_drop
mobilenet,0.1429805468676999,0.05491720601603001,0.4058495817758353,0.35667747626106416,0.2751981101984822,0.2628843867918525,0,0.08806334085166989,0.049172105514771136,0.012313723406629729
densenet201,0.10469621973210697,0.030151700801735015,0.40589354410558154,0.3279755034260298,0.26890248423866986,0.25612225969047636,0,0.07454451893037195,0.07791804067955171,0.012780224548193497
dinov3_base_patch,0.11385151360239842,0.025616459859603702,0.3755673312792401,0.3185613965721052,0.2721820871995323,0.2612225533537206,0,0.08823505374279472,0.057005934707134887,0.01095953384581172
kimianet_1000,0.08789247229947106,0.01620854171873054,0.34004998974571593,0.27839078694454267,0.1257802797834614,0.1144285443561915,0,0.07168393058074052,0.06165920280117326,0.011351735427269902
densenet,0.06934595137033683,0.001451984180954602,0.39433010699997073,0.3454035840104829,0.3093868801789746,0.3014334024473633,0,0.06789396718938223,0.04892652298948785,0.007953477731611314
dinov3_base_cls,0.07627000771853432,-0.011777375972521487,0.3603109002198039,0.3002167058174642,0.21495599659122708,0.20298412832035925,0,0.0880473836910558,0.06009419440233971,0.011971868270867825
dinov2_base_patch,0.03875926953949993,-0.06575515745799931,0.3333242511847483,0.2434399503971297,0.2952137954488568,0.28537177605744607,0,0.10451442699749924,0.08988430078761858,0.009842019391410717
xception,-0.015098244080467449,-0.10656697598032738,0.3149831918779128,0.2594598481613489,0.19718321645054385,0.18521735433760148,0,0.09146873189985993,0.05552334371656387,0.011965862112942371
dinov2_base_cls,-0.033623034695841936,-0.13267544141879073,0.27743193095632124,0.21341828399336352,0.19263731677497362,0.17903639835100874,0,0.0990524067229488,0.06401364696295772,0.01360091842396488
kimianet_224,-0.08398582835598978,-0.14990924945304163,0.2554453283441763,0.2122105085832233,0.17616637060078308,0.16825264661456274,0,0.06592342109705185,0.04323481976095303,0.007913723986220339
nasnet,-0.08375442192373694,-0.16298132152554623,0.2898147674404647,0.23173988339435223,0.13105641915848598,0.11563078161946834,0,0.07922689960180929,0.05807488404611247,0.015425637539017642
