,densenet201,densenet,dinov2_base_cls,dinov2_base_patch,dinov3_base_cls,dinov3_base_patch,kimianet_1000,kimianet_224,mobilenet,nasnet,xception
densenet201,1.0,0.7643466108444109,0.5112524777025198,0.5673538830045339,0.6020655653994409,0.6051185992209149,0.39293327260198835,0.36738274759498846,0.736184720075717,0.5033189966476249,0.6235900088466008
densenet,0.7643466108444109,1.0,0.51932778349321,0.6144714820694037,0.6116639740391128,0.6014877806658812,0.4328422111449529,0.3688651771370054,0.7490722169051537,0.4966963707067424,0.5924054204931906
dinov2_base_cls,0.5112524777025198,0.51932778349321,1.0,0.7089550964506616,0.6554731825566132,0.6270479727224076,0.39523764822922314,0.2607157867797201,0.5068386755331692,0.3635536009480615,0.4033710206329579
dinov2_base_patch,0.5673538830045339,0.6144714820694037,0.7089550964506616,1.0,0.6614595850464922,0.7109925672125705,0.3504297984876012,0.32688289409661586,0.5921412829704994,0.3734658911661298,0.42412646343721017
dinov3_base_cls,0.6020655653994409,0.6116639740391128,0.6554731825566132,0.6614595850464922,1.0,0.9060309268659897,0.4470228014212067,0.3957939383467931,0.667598873524575,0.46745538640153045,0.44344457945164795
dinov3_base_patch,0.6051185992209149,0.6014877806658812,0.6270479727224076,0.7109925672125705,0.9060309268659897,1.0,0.41845839143156627,0.37407563707831565,0.638700890807793,0.4234932276734704,0.44091148712903466
kimianet_1000,0.39293327260198835,0.4328422111449529,0.39523764822922314,0.3504297984876012,0.4470228014212067,0.41845839143156627,1.0,0.33271841538702857,0.48761413895321104,0.3163332588141415,0.2923513027778821
kimianet_224,0.36738274759498846,0.3688651771370054,0.2607157867797201,0.32688289409661586,0.3957939383467931,0.37407563707831565,0.33271841538702857,1.0,0.4233662776020249,0.2482282059126027,0.32180142687161695
mobilenet,0.736184720075717,0.7490722169051537,0.5068386755331692,0.5921412829704994,0.667598873524575,0.638700890807793,0.48761413895321104,0.4233662776020249,1.0,0.5370039291990362,0.5780234334544382
nasnet,0.5033189966476249,0.4966963707067424,0.3635536009480615,0.3734658911661298,0.46745538640153045,0.4234932276734704,0.3163332588141415,0.2482282059126027,0.5370039291990362,1.0,0.5015971866736794
xception,0.6235900088466008,0.5924054204931906,0.4033710206329579,0.42412646343721017,0.44344457945164795,0.44091148712903466,0.2923513027778821,0.32180142687161695,0.5780234334544382,0.5015971866736794,1.0
