backbone,n_features,participation_ratio,n_comp_var90,n_comp_var95,n_comp_var99
kimianet_1000,1024,9.689214115469396,56,111,270
dinov2_base_cls,768,18.033929357157355,71,122,267
dinov2_base_patch,768,20.298443672649952,75,130,284
dinov3_base_patch,768,26.61441694010202,96,157,312
dinov3_base_cls,768,26.783731912773312,105,169,327
kimianet_224,1024,29.240010348759977,134,217,403
densenet201,1920,35.67153704237726,218,329,529
densenet,1664,35.82948898506342,218,325,521
nasnet,4032,53.056998052533466,244,350,536
mobilenet,1024,58.47841950484192,264,357,521
xception,2048,58.5058118530362,254,362,546
