backbone,hopkins_mean,MNN@10,hubness skew
kimianet_1000,0.7318095792552909,0.6653208600032825,0.45065263498291536
mobilenet,0.7290770182168697,0.6641391761037255,0.6245380012523543
dinov2_base_patch,0.7260745431538582,0.7048416215329066,0.47059525962898363
kimianet_224,0.7233932933615213,0.6906942392909897,0.43430896539512187
densenet201,0.720261815448655,0.6882323978335795,0.41278921081065595
dinov3_base_cls,0.7202085368244995,0.6845888724766125,0.5144814302443298
dinov2_base_cls,0.7191727813579232,0.7038568849499426,0.3583862832859171
nasnet,0.7188474082991837,0.666896438536025,0.35962487101812457
xception,0.7113938924384079,0.6755949450188741,0.622270725234495
dinov3_base_patch,0.7104184869539315,0.7038240603971772,0.4535477861632984
densenet,0.7001020053251009,0.6844247497127852,0.5066427054850365
