backbone,normalization,pca_n_components,config,hopkins_mean,MNN@5,MNN@10,MNN@20,hubness skew,max hubness
densenet201,standard,5,standard+pca5,0.7373006540387859,0.6841949778434269,0.7435745937961595,0.7732644017725259,0.22428655650488305,24.0
densenet201,standard,10,standard+pca10,0.7344633085181804,0.6623338257016248,0.6903988183161004,0.7212703101920236,0.32480510545298136,23.0
densenet201,standard,20,standard+pca20,0.7325714136531617,0.6641063515509601,0.6605612998522895,0.6960118168389956,0.5739244413496465,25.0
densenet201,l2,5,l2+pca5,0.7135618517470437,0.6782865583456426,0.7231905465288035,0.7564254062038405,0.060157901710345574,22.0
densenet201,l2,10,l2+pca10,0.7033244064420857,0.6333825701624816,0.6824224519940916,0.719645494830133,0.5526406651196895,28.0
densenet201,l2,20,l2+pca20,0.6983842210793081,0.6262924667651403,0.6496307237813885,0.699261447562777,0.6242824741155526,26.0
densenet201,none,5,none+pca5,0.735444701894199,0.6818316100443131,0.7158050221565732,0.7518463810930576,0.2053941492674918,25.0
densenet201,none,10,none+pca10,0.719807200969011,0.6363367799113737,0.6791728212703102,0.7184638109305761,0.5299719481890058,29.0
densenet201,none,20,none+pca20,0.7074985806961195,0.629837518463811,0.6493353028064993,0.6930576070901034,0.6196396555863076,27.0
densenet,standard,5,standard+pca5,0.7373873762531358,0.7060561299852289,0.741506646971935,0.7729689807976367,0.16963412996029478,20.0
densenet,standard,10,standard+pca10,0.734155939254973,0.674741506646972,0.7069423929098966,0.7180206794682422,0.41287237424189727,25.0
densenet,standard,20,standard+pca20,0.7363739579284244,0.6499261447562777,0.6490398818316101,0.6967503692762186,0.7032798266961147,31.0
densenet,l2,5,l2+pca5,0.6826326780913311,0.6936484490398819,0.7332348596750369,0.744165435745938,0.238024903411131,22.0
densenet,l2,10,l2+pca10,0.6799087507257253,0.6327917282127031,0.676218611521418,0.7011816838995568,0.58919785408647,26.0
densenet,l2,20,l2+pca20,0.681865549479873,0.6333825701624816,0.6451994091580502,0.6765140324963073,0.8136528231009195,30.0
densenet,none,5,none+pca5,0.6766587364848242,0.6853766617429837,0.7069423929098966,0.7335302806499261,0.22375518683960463,22.0
densenet,none,10,none+pca10,0.6845609064225938,0.6333825701624816,0.6590841949778434,0.7,0.620861273876005,30.0
densenet,none,20,none+pca20,0.6873741532850269,0.6168389955686854,0.6416543574593796,0.672821270310192,0.7885059771528922,31.0
