backbone,grad_distance_morph_corr_mean,grad_distance_morph_corr_lo,grad_distance_morph_corr_hi,grad_neighborhood_consistency_mean,grad_neighborhood_consistency_lo,grad_neighborhood_consistency_hi,grad_gradient_smoothness_moran_mean,grad_gradient_smoothness_moran_lo,grad_gradient_smoothness_moran_hi
densenet,0.3044250928889145,0.28680277153594974,0.31898596006410795,0.054376276808200626,0.02705492870412924,0.09302046198984645,0.37797689251911626,0.34705284489163873,0.4368844830032579
dinov2_base_patch,0.2946727691680937,0.27171722772451934,0.31345501187400004,0.01635331747661531,-0.024347974728972144,0.060117733616065004,0.3076397090322912,0.26751393560474324,0.3702304154474215
mobilenet,0.2729281912775959,0.2565052637251461,0.28858725692821274,0.12145082798076942,0.09611622459327218,0.16754921918986343,0.3891961835928772,0.3569709852104019,0.45084069203878074
dinov3_base_patch,0.27277847614872774,0.2516928611286102,0.2901697133025467,0.09018689001818364,0.060904547802434456,0.12528394356750502,0.3504994344105398,0.31513459589368265,0.4110429910292095
densenet201,0.2647716277250247,0.24799661862597663,0.28207323915965454,0.08232135036380522,0.056828632937285815,0.11036436473801306,0.3802294199605416,0.3435019672995232,0.4379981856199731
dinov3_base_cls,0.21329749459308084,0.19330781006705033,0.23187628849690486,0.04846021292497443,0.02195552815260826,0.07590537767402948,0.3420278907468914,0.31022071416926117,0.39616023146223567
xception,0.190805545202029,0.1761073890184375,0.2031441691540814,-0.03301057418358654,-0.06486118197112568,0.017083511486619518,0.3033724689224614,0.2726701555319865,0.3484615801970096
dinov2_base_cls,0.18727258026714502,0.16620631589766516,0.20812464040564685,-0.05931167972184853,-0.0890625921049329,-0.030666287385414128,0.2675556578159028,0.23918493051574033,0.3189324681632426
kimianet_224,0.17087388852038804,0.15448147855418676,0.1925191491274978,-0.09642895131812683,-0.12389053707918174,-0.0667091753641444,0.24342463536822584,0.21118415087004497,0.2855780620610957
nasnet,0.12615677433241065,0.11372613017073474,0.14325159139710186,-0.0974502666253513,-0.1234276848138777,-0.06713410266139413,0.27167063404345354,0.23343518318085685,0.3139914692246089
kimianet_1000,0.1216480744318887,0.10576500215705374,0.13994398074658881,0.06574737482799192,0.04562742903105336,0.08516743437562202,0.3214632061552207,0.2909770535276019,0.380183060535045
