backbone,grad_distance_morph_corr_mean,grad_distance_morph_corr_std,grad_neighborhood_consistency_mean,grad_neighborhood_consistency_std,grad_gradient_smoothness_moran_mean,grad_gradient_smoothness_moran_std
mobilenet,0.2688015380230446,0.009978170170114856,0.1347943726950654,0.021724559731005132,0.39920762029995616,0.011372395960318584
densenet201,0.2676636093006482,0.022814291334400407,0.11076090164491008,0.0461209738862018,0.39064440806800665,0.01641262022946894
kimianet_1000,0.1536193822778652,0.06214050557185111,0.10194554811018863,0.08093707912980615,0.3568108540892989,0.025198580914250816
densenet,0.30304381077943576,0.019108986127651984,0.09614979306662699,0.039322967149006134,0.4042476787045272,0.017597937886701737
dinov3_base_patch,0.26154340350042243,0.021945545703756508,0.08544980245450205,0.04996269158859758,0.3541068644684146,0.02191628324657558
dinov3_base_cls,0.2074182661561218,0.016675206909596178,0.05800136817202717,0.02498686711452864,0.3477315504085398,0.014748201598896515
dinov2_base_patch,0.29154075297212156,0.016950437588542436,0.03500016424233021,0.050837696530961436,0.3320751931886475,0.03747868475039175
xception,0.19654232686384682,0.023204463586805488,-0.028921826850503447,0.07508251278744119,0.29917151731644004,0.028235089905030052
dinov2_base_cls,0.1798568820462101,0.027108754946163997,-0.05559571583076786,0.07967824115095393,0.25775346764212376,0.048619763237573554
kimianet_224,0.13929281608144736,0.07348384530572864,-0.05775420968583887,0.11164521192181279,0.2902578215653832,0.05639073463324562
nasnet,0.15258454296668142,0.024840402225067386,-0.06350524259863231,0.038649928575527265,0.2721454797244132,0.022207026582332135
