backbone,hopkins_mean,hopkins_std
dinov2_base_patch,0.7368588013788689,0.009946165556819788
dinov3_base_cls,0.7265206596370113,0.007987971286224764
dinov2_base_cls,0.7234799746303348,0.009458018649414594
dinov3_base_patch,0.7147091686280514,0.00798656819952796
mobilenet,0.7137295356292583,0.009084304857290698
kimianet_1000,0.7078656350638152,0.009569214529803395
densenet201,0.7033244064420857,0.007355696129251428
nasnet,0.6910822542719075,0.005915305494800462
densenet,0.6799087507257253,0.008121303746892747
xception,0.6715407262507734,0.006864506513583221
kimianet_224,0.6709139112920279,0.008236176494260278
