backbone,MNN@5,MNN@10,MNN@20,hubness skew,max hubness
densenet201,0.6333825701624816,0.6824224519940916,0.719645494830133,0.5526406651196895,28.0
densenet,0.6327917282127031,0.676218611521418,0.7011816838995568,0.58919785408647,26.0
dinov2_base_cls,0.6629246676514032,0.6874446085672082,0.7236336779911374,0.4477321819752775,28.0
dinov2_base_patch,0.6534711964549483,0.6933530280649927,0.7258493353028065,0.4236399901043666,26.0
dinov3_base_cls,0.6522895125553915,0.6685376661742983,0.7005908419497784,0.739742193827726,30.0
dinov3_base_patch,0.646381093057607,0.6833087149187592,0.7322008862629247,0.47210575574691227,27.0
kimianet_1000,0.620384047267356,0.6413589364844904,0.6518463810930576,0.4463701250655311,27.0
kimianet_224,0.6451994091580502,0.6886262924667651,0.7423929098966027,0.4523209939668889,25.0
mobilenet,0.6186115214180207,0.6537666174298375,0.6828655834564255,0.7970976049306673,33.0
nasnet,0.6020679468242245,0.6484490398818316,0.6968980797636632,0.3826748345155886,25.0
xception,0.6280649926144757,0.6638109305760709,0.7073855243722305,0.5814781521573883,27.0
