backbone,normalization,pca_n_components,ward_best_silhouette,ward_best_k,ward_best_davies_bouldin,hdbscan_best_dbcv,hdbscan_best_dbcv_n_clusters,hdbscan_min_noise_fraction
densenet201,standard,0,0.07060814077523238,2,2.780512846038109,,,1.0
densenet201,l2,0,0.08943923063298573,2,2.9775912664754776,0.03246154431631214,2.0,0.48005908419497784
densenet201,none,0,0.09013266736646407,2,2.9533892676826796,,,1.0
densenet,standard,0,0.06921764099903349,2,3.0946896955649135,,,1.0
densenet,l2,0,0.08894015122333147,2,2.762632983656008,,,1.0
densenet,none,0,0.08644339509171017,2,2.8352277112903237,,,1.0
dinov2_base_cls,standard,0,0.07304391105166017,2,2.612316763542958,0.010525066102192518,2.0,0.8522895125553914
dinov2_base_cls,l2,0,0.07936397875995266,2,2.4705917823824404,-0.020510580580582822,2.0,0.8404726735598228
dinov2_base_cls,none,0,0.07570902755856058,2,2.5623963779609813,0.013484413920701913,2.0,0.844903988183161
dinov2_base_patch,standard,0,0.0763906971395932,3,2.5442171684573376,,,1.0
dinov2_base_patch,l2,0,0.09278779301178047,3,2.3813195560968654,,,1.0
dinov2_base_patch,none,0,0.07599690949531246,8,2.4821032207255516,,,1.0
dinov3_base_cls,standard,0,0.08467162056944308,2,2.862095196902045,0.020401187546501998,2.0,0.7355982274741507
dinov3_base_cls,l2,0,0.12475328656546489,2,2.509402224849544,0.03919509492463929,2.0,0.7045790251107829
dinov3_base_cls,none,0,0.12196706011618409,2,2.5428234266164687,-0.07431683780033821,2.0,0.6927621861152142
dinov3_base_patch,standard,0,0.09287624833510728,2,2.8279833312863265,,,1.0
dinov3_base_patch,l2,0,0.10899402068986802,2,2.601979457383389,-0.3393203130578578,2.0,0.7621861152141802
dinov3_base_patch,none,0,0.10829267590876988,2,2.7049221874244713,0.08460147319039601,2.0,0.7518463810930576
kimianet_1000,standard,0,0.1658895327472099,2,2.0173350859120394,0.05539994907066778,2.0,0.8419497784342689
kimianet_1000,l2,0,0.26256763751518447,2,1.2553351393806604,-0.10306640623623546,3.0,0.7562776957163959
kimianet_1000,none,0,0.28266587187436015,2,1.247859974086045,0.03671943308334587,3.0,0.8257016248153619
kimianet_224,standard,0,0.07039866945016984,3,2.657271434444045,0.020690927178381866,2.0,0.8980797636632201
kimianet_224,l2,0,0.07831301273095333,2,2.482258043105575,0.030925985726443908,2.0,0.8242245199409158
kimianet_224,none,0,0.10856476770535525,2,2.2002309993672613,0.02828447551220771,2.0,0.8759231905465288
mobilenet,standard,0,0.058153757338748426,2,3.437031916594835,,,1.0
mobilenet,l2,0,0.0888311814545284,2,2.846987648730743,,,1.0
mobilenet,none,0,0.09553504096939623,2,2.972542869228576,,,1.0
nasnet,standard,0,0.07195766427963232,2,2.9071807552819457,,,1.0
nasnet,l2,0,0.10886742041865041,2,2.686051262302063,,,1.0
nasnet,none,0,0.10669337181010485,2,2.612048942127648,,,1.0
xception,standard,0,0.04233573979921133,2,3.1393389091792843,,,1.0
xception,l2,0,0.07366873883113602,3,3.0175098912848437,,,1.0
xception,none,0,0.05900125954121537,7,2.9873768446682747,,,1.0
