backbone,mean_ward_silhouette,std_ward_silhouette,mean_hdbscan_dbcv,mean_min_noise,n_configs
kimianet_1000,0.30171423903905376,0.04586876399292935,-0.1422461565019278,0.6640407024454292,9
dinov3_base_cls,0.22539301965173056,0.052709147887064184,-0.09044988666328901,0.7523387493845397,9
mobilenet,0.21401169618668275,0.052426754851224125,-0.16069536331920342,0.7864762842606269,9
dinov3_base_patch,0.20145461150387578,0.04497058151797495,-0.11720450869794354,0.7500410306909568,9
densenet201,0.19014134985855863,0.04568706285777233,-0.12691568469397302,0.5283111767602167,9
nasnet,0.18952621409209935,0.03210816997867772,-0.14336733031068918,0.6482849171180043,9
densenet,0.18217041958312846,0.04404099421381418,-0.12135488858684793,0.7689151485311013,9
dinov2_base_patch,0.15747648751252954,0.0342866521782725,-0.161762132007746,0.8270146069259806,9
dinov2_base_cls,0.15287777200220398,0.04561323900573875,-0.09177296907272768,0.8362054817003118,9
kimianet_224,0.15110846238231943,0.03138111085961692,-0.098132559587852,0.8478581979320532,9
xception,0.14931263076164678,0.044245368898331076,-0.07335987559828426,0.8238962744132611,9
