backbone,normalization,pca_n_components,config,ward_best_silhouette,ward_best_k,ward_best_davies_bouldin,hdbscan_best_dbcv,hdbscan_best_dbcv_n_clusters,hdbscan_min_noise_fraction
densenet201,standard,5,standard+pca5,0.24197974450618456,2,1.2889396569373408,-0.18380781919606015,2.0,0.08124076809453472
densenet201,standard,10,standard+pca10,0.1699186129294598,2,1.5978339613155288,-0.21702265128550707,2.0,0.7503692762186115
densenet201,standard,20,standard+pca20,0.14064014092021204,2,1.9318815084112886,,,1.0
densenet201,l2,5,l2+pca5,0.2496781973872366,2,1.310208294263458,-0.011121137922401799,2.0,0.6469719350073855
densenet201,l2,10,l2+pca10,0.18894308174147903,2,1.7166772625678552,-0.10784284077887195,2.0,0.24519940915805022
densenet201,l2,20,l2+pca20,0.1501632062776023,2,2.0382803598408845,-0.1486991422342228,2.0,0.22451994091580502
densenet201,none,5,none+pca5,0.2507461273137879,3,1.252899259657748,-0.1991303677063054,2.0,0.007385524372230428
densenet201,none,10,none+pca10,0.17491961485430702,3,1.7059022287050438,-0.020785833734442066,3.0,0.7991137370753324
densenet201,none,20,none+pca20,0.14428342279675846,2,2.1439574021663144,,,1.0
densenet,standard,5,standard+pca5,0.21308314144081025,2,1.3475133982486158,-0.24807095650562042,2.0,0.7149187592319055
densenet,standard,10,standard+pca10,0.1670130530250255,2,1.6195873935080303,-0.04290045009502694,2.0,0.7976366322008862
densenet,standard,20,standard+pca20,0.14049532676661872,2,2.042401517803614,-0.04689075052403134,2.0,0.827178729689808
densenet,l2,5,l2+pca5,0.25267893593614943,2,1.3419791901394222,-0.26489045914626974,3.0,0.6233382570162481
densenet,l2,10,l2+pca10,0.175927609204751,2,1.742190930489562,-0.12437987490531263,3.0,0.7503692762186115
densenet,l2,20,l2+pca20,0.1337037648927461,2,2.1986380813684514,,,1.0
densenet,none,5,none+pca5,0.24374124481449427,2,1.4761887168506191,-0.04320484961720067,2.0,0.7090103397341211
densenet,none,10,none+pca10,0.16421557460024688,2,1.7862187810779098,-0.042996593046902565,2.0,0.7208271787296898
densenet,none,20,none+pca20,0.14867512556731408,2,2.040398476888339,-0.1575051748544191,2.0,0.7769571639586411
dinov2_base_cls,standard,5,standard+pca5,0.20229110682907714,3,1.4513467608303154,-0.28236816686599175,2.0,0.7872968980797637
dinov2_base_cls,standard,10,standard+pca10,0.14087910141726698,2,1.7693797163234608,0.026299299801051924,2.0,0.8227474150664698
dinov2_base_cls,standard,20,standard+pca20,0.10392102417831663,2,1.9997385263708116,-0.06139090729093537,3.0,0.8906942392909897
dinov2_base_cls,l2,5,l2+pca5,0.21254097555255355,3,1.413452322154341,-0.15836541825772227,2.0,0.8094534711964549
dinov2_base_cls,l2,10,l2+pca10,0.1431762123419798,3,1.7078957669570978,-0.0609433169092859,2.0,0.8508124076809453
dinov2_base_cls,l2,20,l2+pca20,0.11287729355222745,2,1.976203903243987,-0.04436451534126211,3.0,0.8774002954209749
dinov2_base_cls,none,5,none+pca5,0.21337151273353813,2,1.4033089783831294,-0.21079258192484157,2.0,0.7769571639586411
dinov2_base_cls,none,10,none+pca10,0.14593160586809642,2,1.6617023513886922,0.007918693532970575,2.0,0.8508124076809453
dinov2_base_cls,none,20,none+pca20,0.1009111155467796,3,1.991622876666535,-0.0419498083985327,2.0,0.8596750369276218
dinov2_base_patch,standard,5,standard+pca5,0.19667404796879015,3,1.4535400987849516,-0.19208393111232003,2.0,0.8005908419497785
dinov2_base_patch,standard,10,standard+pca10,0.14475831383381357,3,1.8646779165221674,-0.17778076869142698,2.0,0.8079763663220089
dinov2_base_patch,standard,20,standard+pca20,0.11156753013921644,2,1.9684787773551347,-0.007539147991235966,2.0,0.9601181683899557
dinov2_base_patch,l2,5,l2+pca5,0.1909971200295201,2,1.3657246468744846,-0.25760883592981576,2.0,0.8419497784342689
dinov2_base_patch,l2,10,l2+pca10,0.1492036224675815,2,1.7020128588645715,-0.23139620657413693,2.0,0.8035450516986706
dinov2_base_patch,l2,20,l2+pca20,0.13029210568278388,2,1.935439998914396,-0.15268816743616576,2.0,0.8035450516986706
dinov2_base_patch,none,5,none+pca5,0.21021361289303864,3,1.3630998776414496,-0.17912510788649952,3.0,0.8005908419497785
dinov2_base_patch,none,10,none+pca10,0.1558342901601975,3,1.7927990001865743,-0.1598280573547035,2.0,0.7961595273264401
dinov2_base_patch,none,20,none+pca20,0.12774774443782416,3,2.0258164483820607,-0.09780896509340968,2.0,0.8286558345642541
dinov3_base_cls,standard,5,standard+pca5,0.24836251565236797,2,1.4057643144570482,-0.13255661979293784,2.0,0.793205317577548
dinov3_base_cls,standard,10,standard+pca10,0.20273305293127133,2,1.7111844189380785,-0.1859786517567163,3.0,0.7976366322008862
dinov3_base_cls,standard,20,standard+pca20,0.16012202110644944,2,2.098821663686793,-0.10009900546350568,2.0,0.7474150664697193
dinov3_base_cls,l2,5,l2+pca5,0.30793800203724075,2,1.3068686389960826,0.0020665424016902273,2.0,0.8183161004431314
dinov3_base_cls,l2,10,l2+pca10,0.23042226064354238,2,1.6594781467592508,-0.10109950889637498,2.0,0.6277695716395865
dinov3_base_cls,l2,20,l2+pca20,0.18729684379692108,2,1.9273475185073856,-0.07118346056544687,2.0,0.7872968980797637
dinov3_base_cls,none,5,none+pca5,0.3049468507422196,2,1.3135688681532434,0.005337195980121494,2.0,0.7799113737075333
dinov3_base_cls,none,10,none+pca10,0.2046062007182624,2,1.689947728036006,-0.13595460934457348,2.0,0.6189069423929099
dinov3_base_cls,none,20,none+pca20,0.18210942923729997,2,1.9643830982056696,-0.09458086253185771,2.0,0.8005908419497785
dinov3_base_patch,standard,5,standard+pca5,0.24754596589451328,2,1.4388491130695433,-0.22487021067651816,3.0,0.7208271787296898
dinov3_base_patch,standard,10,standard+pca10,0.17528076610901966,2,1.763699402304997,-0.1154499150233751,2.0,0.7784342688330872
dinov3_base_patch,standard,20,standard+pca20,0.14763002312956494,2,2.115677680044316,-0.08409390384922352,2.0,0.7621861152141802
dinov3_base_patch,l2,5,l2+pca5,0.2628844683702393,2,1.3712376974793483,-0.20959283039070115,2.0,0.7828655834564254
dinov3_base_patch,l2,10,l2+pca10,0.19452252844443405,2,1.6616327817395216,-0.05586069371855874,2.0,0.7725258493353028
dinov3_base_patch,l2,20,l2+pca20,0.1641789453124609,2,2.021096732600222,-0.08008037164343554,2.0,0.7858197932053176
dinov3_base_patch,none,5,none+pca5,0.26312032844757965,2,1.421633489460859,-0.1467492896977739,2.0,0.7813884785819794
dinov3_base_patch,none,10,none+pca10,0.1939109011776172,2,1.6836184649341137,-0.06334809448397735,2.0,0.5878877400295421
dinov3_base_patch,none,20,none+pca20,0.164017576649453,2,1.974981894701189,-0.07479526879792842,2.0,0.7784342688330872
kimianet_1000,standard,5,standard+pca5,0.3001729864483197,2,1.1903616829962804,-0.4001486361000929,2.0,0.7267355982274741
kimianet_1000,standard,10,standard+pca10,0.24955022185867887,2,1.3443072963312765,-0.1297334335779988,4.0,0.8257016248153619
kimianet_1000,standard,20,standard+pca20,0.22414987364695652,2,1.4948718758173278,-0.02389932706377533,4.0,0.8360413589364845
kimianet_1000,l2,5,l2+pca5,0.3611263357771298,2,1.082414411840685,-0.12846415462304767,2.0,0.2895125553914328
kimianet_1000,l2,10,l2+pca10,0.3022068632279889,2,1.2669602285374502,-0.24394490798283355,3.0,0.6735598227474151
kimianet_1000,l2,20,l2+pca20,0.29542428967434153,2,1.2143929672507567,-0.04292554200652126,2.0,0.6942392909896603
kimianet_1000,none,5,none+pca5,0.36845434787739223,2,0.9022364880812336,-0.30012954168499917,2.0,0.3929098966026588
kimianet_1000,none,10,none+pca10,0.30922657522251745,2,1.0812595850373408,-0.09984224227503607,4.0,0.7503692762186115
kimianet_1000,none,20,none+pca20,0.30511665761815876,2,1.2122454911194425,0.08887237679695463,2.0,0.7872968980797637
kimianet_224,standard,5,standard+pca5,0.2075175297587427,2,1.4121088170563787,-0.24754905540749267,2.0,0.7370753323485968
kimianet_224,standard,10,standard+pca10,0.15769718814784034,3,1.7527118838101101,-0.11457964360528643,2.0,0.9084194977843427
kimianet_224,standard,20,standard+pca20,0.12292285601787664,3,2.0442078026359325,0.05472521456709792,2.0,0.9335302806499262
kimianet_224,l2,5,l2+pca5,0.18012134011817996,2,1.4520383131756558,-0.1139646445166269,2.0,0.7961595273264401
kimianet_224,l2,10,l2+pca10,0.141171055168785,2,1.9155175383624623,-0.05521539642926486,2.0,0.7163958641063516
kimianet_224,l2,20,l2+pca20,0.1105669086940676,2,2.1693062878828537,-0.035504553963453304,2.0,0.8404726735598228
kimianet_224,none,5,none+pca5,0.16925955613900204,4,1.423845435771824,-0.26588453276608137,2.0,0.8375184638109305
kimianet_224,none,10,none+pca10,0.1503390946022408,2,1.7846787085936875,,,1.0
kimianet_224,none,20,none+pca20,0.1203806327941397,3,2.0383644582246587,-0.007087864581708295,2.0,0.8611521418020679
mobilenet,standard,5,standard+pca5,0.24382803852430124,2,1.2996407312957337,-0.3373570978786681,2.0,0.4505169867060561
mobilenet,standard,10,standard+pca10,0.17902462885435796,2,1.6069440435929723,-0.14184214571954012,2.0,0.9438700147710487
mobilenet,standard,20,standard+pca20,0.14715605479257826,2,1.8294095454344501,,,1.0
mobilenet,l2,5,l2+pca5,0.28489486526630065,2,1.3096261952637058,0.031287444407473414,2.0,0.7208271787296898
mobilenet,l2,10,l2+pca10,0.22496542885779702,2,1.5825703017878108,-0.204922964185443,2.0,0.6262924667651403
mobilenet,l2,20,l2+pca20,0.17487022328245674,2,1.8560465592319033,-0.16114268521363542,2.0,0.8064992614475628
mobilenet,none,5,none+pca5,0.2845045263950301,2,1.2636014036429195,-0.22467112309605827,4.0,0.7208271787296898
mobilenet,none,10,none+pca10,0.23159407270882248,2,1.646009571570012,-0.08621897154855243,3.0,0.8094534711964549
mobilenet,none,20,none+pca20,0.15526742699850016,2,1.992731390696552,,,1.0
nasnet,standard,5,standard+pca5,0.2156425777437744,2,1.3885026620198329,-0.2653672619766255,2.0,0.6676514032496307
nasnet,standard,10,standard+pca10,0.17230835958565457,2,1.5751515144182164,-0.16392877801049302,2.0,0.6292466765140325
nasnet,standard,20,standard+pca20,0.1364846608259496,2,1.833538353747188,0.0542768259344541,2.0,0.9497784342688331
nasnet,l2,5,l2+pca5,0.24050434653406452,2,1.2623623305966087,-0.23133117285391738,2.0,0.5317577548005908
nasnet,l2,10,l2+pca10,0.19537236284500506,2,1.6451501960115387,-0.14855249031543039,2.0,0.5952732644017725
nasnet,l2,20,l2+pca20,0.16755510660732748,2,1.9642121656695541,-0.13856983391107225,2.0,0.6809453471196455
nasnet,none,5,none+pca5,0.21191855878146296,3,1.2977682781284228,-0.1512398208327872,2.0,0.6262924667651403
nasnet,none,10,none+pca10,0.2023736853446719,2,1.7741036295526638,-0.12178210063797529,2.0,0.5760709010339734
nasnet,none,20,none+pca20,0.16357626856098378,2,2.0245068901841203,-0.12381134019235582,2.0,0.5775480059084195
xception,standard,5,standard+pca5,0.2068631684871077,4,1.3850739712446596,,,1.0
xception,standard,10,standard+pca10,0.19763183919006075,2,1.6522532045534812,-0.07255879842517066,2.0,0.9571639586410635
xception,standard,20,standard+pca20,0.09933688234799976,13,2.0039545845875666,-0.057464062693466905,2.0,0.9601181683899557
xception,l2,5,l2+pca5,0.18728689305452825,4,1.4122236125888665,0.07314874504054297,2.0,0.7370753323485968
xception,l2,10,l2+pca10,0.13709475194023688,3,1.8697036736090893,-0.04493560009991409,2.0,0.843426883308715
xception,l2,20,l2+pca20,0.09521994561114037,7,2.1627946303731673,-0.09097892800176331,2.0,0.8345642540620384
xception,none,5,none+pca5,0.1822731852085862,6,1.4500536351687876,-0.04613575845260852,2.0,0.4357459379615953
xception,none,10,none+pca10,0.125451489891183,4,1.8674402640691863,-0.1904680685535624,2.0,0.8153618906942393
xception,none,20,none+pca20,0.11265552112397818,3,2.0938221974244535,-0.15748653360033113,2.0,0.8316100443131462
